Country,GDP per capita,Life expectancy
Egypt1990,6086.68675366987,64.572
Ecuador1990,8293.7406745374,68.899
Dominican Republic1990,6203.20780954313,66.574
Dominica1990,7775.43736138375,74.104
Djibouti2013,4028.4323695284,62.239
Denmark1990,39027.9787365148,74.941
Democratic Republic of Congo1990,1819.72331487329,49.043
Czechia1990,23585.1814938054,71.89
Cyprus1990,25286.283375501,76.554
Curacao2000,29669.8646067821,74.702
Croatia1995,15002.6487512464,73.727
Cote d'Ivoire1990,4499.87536315517,53.254
Costa Rica1990,9932.6298394144,75.654
Congo1990,5071.810299595,54.638
Comoros1990,3061.33091422758,56.677
Colombia1990,8307.25326013412,69.75
China1990,1423.89634790711,69.145
Chile1990,9849.64855656825,73.509
Chad1990,1003.78554147824,47.019
Central African Republic1990,1201.67466482263,49.104
Cayman Islands2006,80513.47821153,81.407
Cape Verde1990,1748.61850613851,64.676
Canada1997,34034.4551755858,78.505
Cameroon1990,3222.94502828305,53.362
Cambodia1993,1763.81784326757,54.514
Burundi1990,1184.84200478917,47.829
Burkina Faso1990,1017.54005082607,49.454
Bulgaria1990,12070.773969858,71.275
Brunei1990,71232.7894299057,70.185
Brazil1990,10521.1210145068,66.343
Botswana1990,9074.20570003535,59.191
Bosnia and Herzegovina1994,1653.42293141064,71.093
Bolivia1990,4587.42938073981,56.099
Bhutan1990,2880.57165808107,52.878
Bermuda1990,65961.4062778196,75.075
Benin1990,2175.20857627578,53.812
Belize1990,4854.98936338819,71.242
Belgium1990,35506.2392661362,75.862
Belarus1990,8895.47651248387,70.648
Barbados1990,13984.1925159608,74.704
Bangladesh1990,1517.72927106581,58.21
Bahrain1990,38601.0327316615,72.39
Bahamas1990,38099.2538327744,70.199
Azerbaijan1990,7758.15403607236,64.827
Austria1990,37440.8371224764,75.596
Australia1990,31058.2596709541,76.933
Aruba1990,37035.0331833196,73.468
Armenia1990,5180.0612025078,67.879
Argentina1990,14144.763670185,71.594
Antigua and Barbuda1990,15458.4571892781,71.52
Angola1990,5783.42955231631,45.306
Algeria1990,8746.35188227883,66.938
Albania1990,4827.31848375491,71.836
Afghanistan2002,1189.78466765718,56.784
