Country,GDP per capita,Life expectancy
Argentina2011,24647.6292739541,75.439
Argentina2012,24118.8675158912,75.598
Argentina2013,24424.1364465071,75.756
Argentina2014,23550.0990599374,75.913
Argentina2015,23933.8866120953,76.068
Argentina2016,23189.5274451329,76.221
Argentina2017,23597.117752839,76.372
Argentina2018,22759.3985583341,76.52
Argentina2019,22063.9043717551,76.667
Armenia1990,5180.0612025078,67.879
Armenia1991,4616.94485412872,67.87
Armenia1992,2735.78653877911,67.99
Armenia1993,2554.17216716616,68.218
Armenia1994,2757.23180984117,68.538
Armenia1995,3008.23332068624,68.938
Armenia1996,3234.06962110572,69.404
Armenia1997,3378.94443074421,69.912
Armenia1998,3654.05296834871,70.434
Armenia1999,3798.67375035142,70.944
Armenia2000,4048.24990407114,71.409
Armenia2001,4464.38583116475,71.8
Armenia2002,5081.51855787396,72.112
Armenia2003,5823.716092618,72.348
Armenia2004,6472.14199852835,72.513
Armenia2005,7419.87119017403,72.626
Armenia2006,8464.48572583781,72.716
Armenia2007,9708.41539720344,72.815
Armenia2008,10467.5298136022,72.946
Armenia2009,9052.38354922249,73.118
Armenia2010,9286.19732701296,73.331
Armenia2011,9725.27822960819,73.572
Armenia2012,10397.654656654,73.82
Armenia2013,10691.2767474722,74.056
Armenia2014,11019.838784895,74.273
Armenia2015,11321.3325403745,74.467
Armenia2016,11303.0678498177,74.64
Armenia2017,12115.1392902637,74.797
Armenia2018,12715.1089539751,74.945
Armenia2019,13653.7633812861,75.087
Aruba1990,37035.0331833196,73.468
Aruba1991,38455.2077682848,73.509
Aruba1992,38559.0959666381,73.544
Aruba1993,38948.3139816001,73.573
Aruba1994,39830.5192426647,73.598
Aruba1995,39004.7846056033,73.622
Aruba1996,38097.9834759171,73.646
Aruba1997,39714.0933835563,73.671
Aruba1998,39655.920022559,73.7
Aruba1999,39367.0238450198,73.738
Aruba2000,41499.6385368811,73.787
Aruba2001,39388.3526308389,73.853
Aruba2002,37256.6597201842,73.937
Aruba2003,37200.0588504797,74.038
Aruba2004,39440.6678569856,74.156
Aruba2005,39407.1909679879,74.287
Aruba2006,39504.4687300445,74.429
Aruba2007,40058.3133138128,74.576
Aruba2008,39968.2786852008,74.725
Aruba2009,35731.9896000615,74.872
Aruba2010,34343.1513198843,75.017
Aruba2011,35392.605185777,75.158
Aruba2012,34732.4958463381,75.299
Aruba2013,35980.1645924769,75.441
Aruba2014,35875.6298298588,75.583
Aruba2015,37715.9266182631,75.725
Aruba2016,38314.8060318881,75.868
Aruba2017,38897.122666275,76.01
Australia1990,31058.2596709541,76.933
Australia1991,30542.9197143586,77.223
Australia1992,30298.9290163388,77.505
Australia1993,31213.0798529168,77.772
Australia1994,32114.830840244,78.024
Australia1995,32946.9006734039,78.267
Australia1996,33778.0635392223,78.508
Australia1997,34727.1997827083,78.759
Australia1998,35940.0171358725,79.024
Australia1999,37334.4752293048,79.302
Australia2000,38343.002147534,79.592
Australia2001,38559.9041923683,79.886
Australia2002,39616.3360972665,80.174
Australia2003,40298.8860528145,80.451
Australia2004,41449.8419535385,80.711
Australia2005,42217.136349705,80.952
Australia2006,42761.4056075413,81.174
Australia2007,44128.727085347,81.381
Australia2008,44835.3614074555,81.577
Australia2009,44771.4842140369,81.764
Australia2010,44991.7837148741,81.944
Australia2011,45463.6819958564,82.119
Australia2012,46427.3681999004,82.291
Australia2013,46814.7415105804,82.46
Australia2014,47289.9646101072,82.627
Australia2015,47636.319641906,82.794
Australia2016,48197.431189174,82.959
Australia2017,48482.6474614392,83.122
Australia2018,49151.6887104846,83.281
Australia2019,49455.5385080697,83.436
Austria1990,37440.8371224764,75.596
Austria1991,38344.6538588312,75.83
Austria1992,38718.93304962,76.063
Austria1993,38603.2585486016,76.304
Austria1994,39378.7061153852,76.557
Austria1995,40367.4710458506,76.823
Austria1996,41260.1714020034,77.101
Austria1997,42076.2876519581,77.386
Austria1998,43535.4217533188,77.672
Austria1999,44996.0545966818,77.957
Austria2000,46403.2776992589,78.239
Austria2001,46811.746772924,78.518
Austria2002,47351.3346982706,78.791
Austria2003,47564.8638976916,79.059
Austria2004,48563.5886574222,79.318
Austria2005,49316.2647023136,79.567
Austria2006,50767.8484448075,79.806
Austria2007,52489.7572106205,80.032
Austria2008,53089.8763414956,80.246
Austria2009,50957.6063796813,80.444
Austria2010,51769.1455641151,80.622
Austria2011,53102.950844304,80.776
Austria2012,53221.0786648309,80.906
Austria2013,52921.8171022969,81.013
Austria2014,52857.0563215416,81.103
Austria2015,52798.0994607541,81.182
Austria2016,53269.3062047537,81.258
Austria2017,54169.9639937065,81.34
Austria2018,55297.6182880367,81.434
Austria2019,55833.3156857561,81.544
Azerbaijan1990,7758.15403607236,64.827
Azerbaijan1991,7585.17951719775,64.745
Azerbaijan1992,5782.65027681675,64.731
Azerbaijan1993,4379.81407803336,64.81
Azerbaijan1994,3469.77031647845,64.991
Azerbaijan1995,3025.29387687973,65.256
Azerbaijan1996,3033.830388279,65.573
Azerbaijan1997,3178.97739607155,65.899
Azerbaijan1998,3463.84200968233,66.207
Azerbaijan1999,3687.6610145928,66.491
Azerbaijan2000,4063.47164104466,66.763
Azerbaijan2001,4431.28987324473,67.054
Azerbaijan2002,4813.50418477741,67.391
Azerbaijan2003,5264.84052596649,67.791
Azerbaijan2004,5701.90326352629,68.249
Azerbaijan2005,7222.03607503781,68.747
Azerbaijan2006,9605.09610840819,69.259
Azerbaijan2007,11914.994832597,69.752
Azerbaijan2008,12903.1519167445,70.201
Azerbaijan2009,13822.0911094279,70.597
Azerbaijan2010,14312.7561158751,70.938
Azerbaijan2011,13905.2457636452,71.234
Azerbaijan2012,14023.9807176578,71.506
Azerbaijan2013,14652.7042457179,71.768
Azerbaijan2014,14875.7816413327,72.022
Azerbaijan2015,14853.9105525729,72.266
Azerbaijan2016,14238.7841366188,72.493
Azerbaijan2017,14121.4069355591,72.693
Azerbaijan2018,14209.6494059309,72.864
Azerbaijan2019,14439.3014032972,73.005
Bahamas1990,38099.2538327744,70.199
Bahamas1991,35837.4651884043,70.518
Bahamas1992,33815.9549752855,70.807
Bahamas1993,33289.7315995842,71.061
Bahamas1994,33742.4793984083,71.276
Bahamas1995,34675.6750692435,71.451
Bahamas1996,35656.4852093656,71.589
Bahamas1997,37659.5017015856,71.698
Bahamas1998,35562.8717497012,71.786
Bahamas1999,39430.7738839293,71.858
Bahamas2000,40518.1795069369,71.914
Bahamas2001,40953.4839488565,71.954
Bahamas2002,41372.2370983239,71.977
Bahamas2003,40135.9965450675,71.986
Bahamas2004,39757.6680928499,71.988
Bahamas2005,40353.9751920068,71.987
Bahamas2006,40596.8009226953,71.988
Bahamas2007,40408.3869814188,71.998
Bahamas2008,38746.783555254,72.022
Bahamas2009,36500.0676546934,72.067
Bahamas2010,36504.4070465871,72.144
Bahamas2011,36253.6681039906,72.263
Bahamas2012,36961.7485368649,72.424
Bahamas2013,35620.7135644207,72.62
Bahamas2014,35659.931134214,72.847
Bahamas2015,35400.6494660106,73.088
Bahamas2016,35558.0724972871,73.329
Bahamas2017,36298.4480017563,73.554
Bahamas2018,37019.9950489508,73.752
Bahamas2019,37100.3629626189,73.918
Bahrain1990,38601.0327316615,72.39
Bahrain1991,41770.6421477913,72.598
Bahrain1992,43430.2713411364,72.803
Bahrain1993,47819.4239458923,73.006
Bahrain1994,46538.7747226765,73.209
Bahrain1995,47157.2167609521,73.413
Bahrain1996,47825.8742542915,73.619
Bahrain1997,47957.0685646187,73.826
Bahrain1998,48717.1820404672,74.033
Bahrain1999,48988.570176162,74.239
Bahrain2000,49406.2910308378,74.44
Bahrain2001,48245.775482163,74.635
Bahrain2002,47311.7455106711,74.822
Bahrain2003,47476.9833537752,74.999
Bahrain2004,47661.3940699161,75.167
Bahrain2005,47493.1483991775,75.326
Bahrain2006,46910.1911420582,75.478
Bahrain2007,47000.3153341983,75.625
Bahrain2008,46408.8320829659,75.77
Bahrain2009,44759.3947196856,75.913
Bahrain2010,44599.804972084,76.057
Bahrain2011,44157.4796400241,76.2
Bahrain2012,45035.9785547932,76.342
Bahrain2013,46930.8307282373,76.484
Bahrain2014,48201.1571717366,76.624
Bahrain2015,48110.7341930587,76.762
Bahrain2016,47937.7090620549,76.899
Bahrain2017,47709.7780156397,77.032
Bahrain2018,46200.445580954,77.163
Bahrain2019,45060.4237448845,77.292
Bangladesh1990,1517.72927106581,58.21
Bangladesh1991,1534.52517930292,58.891
Bangladesh1992,1582.31359952154,59.618
Bangladesh1993,1621.32684617706,60.388
Bangladesh1994,1648.73402343608,61.19
Bangladesh1995,1696.56782496942,62.002
Bangladesh1996,1735.92200817636,62.798
Bangladesh1997,1775.9641175023,63.553
Bangladesh1998,1829.50380574895,64.25
Bangladesh1999,1876.59904380337,64.881
Bangladesh2000,1937.72919211467,65.447
Bangladesh2001,1998.06631990634,65.956
Bangladesh2002,2037.23630988193,66.43
Bangladesh2003,2097.16874811972,66.886
Bangladesh2004,2171.68867544338,67.331
Bangladesh2005,2279.53127370224,67.773
Bangladesh2006,2399.08222733303,68.213
Bangladesh2007,2537.11119756525,68.648
Bangladesh2008,2659.04923206241,69.072
Bangladesh2009,2762.18047443876,69.485
Bangladesh2010,2883.46679391309,69.881
Bangladesh2011,3034.95108156758,70.256
Bangladesh2012,3195.78104025627,70.606
Bangladesh2013,3349.02500775857,70.93
Bangladesh2014,3511.64550625961,71.231
Bangladesh2015,3700.11082057504,71.514
Bangladesh2016,3920.14450723583,71.785
Bangladesh2017,4160.70332471531,72.052
Bangladesh2018,4440.85547046826,72.32
Bangladesh2019,4753.72659686814,72.591
Barbados1990,13984.1925159608,74.704
Barbados1991,13388.5891086477,74.892
Barbados1992,12579.4681689116,75.101
Barbados1993,12632.1897441016,75.332
Barbados1994,12836.3812807789,75.583
Barbados1995,13042.6157319939,75.852
Barbados1996,13505.7981330451,76.131
Barbados1997,14086.065609887,76.41
Barbados1998,14548.8183416476,76.68
Barbados1999,14537.0020282853,76.933
Barbados2000,15124.4362400335,77.162
Barbados2001,14713.4035365796,77.362
Barbados2002,14778.8722467196,77.534
Barbados2003,15050.4034602071,77.682
Barbados2004,15210.0718404141,77.808
Barbados2005,15752.3601314013,77.915
Barbados2006,16612.7345662264,78.009
Barbados2007,16903.8729554071,78.097
Barbados2008,16946.6709613034,78.184
Barbados2009,16019.7146273444,78.272
Barbados2010,15596.6168113309,78.364
Barbados2011,15444.7463207601,78.456
Barbados2012,15335.848046216,78.547
Barbados2013,15088.4413511106,78.633
Barbados2014,15041.5547480584,78.717
Barbados2015,15382.7656890531,78.801
Barbados2016,15738.0786618241,78.888
Barbados2017,15789.0411622149,78.981
Barbados2018,15674.9043195592,79.081
Barbados2019,15639.0478442375,79.19
Belarus1990,8895.47651248387,70.648
Belarus1991,8784.42045113033,70.227
Belarus1992,7924.01489322442,69.736
Belarus1993,7305.34258331295,69.223
Belarus1994,6458.18614237422,68.723
Belarus1995,5805.26691258759,68.274
Belarus1996,5987.78568941429,67.904
Belarus1997,6698.74456753512,67.623
Belarus1998,7296.05459067832,67.436
Belarus1999,7575.91832595163,67.351
Belarus2000,8053.17363808324,67.364
Belarus2001,8477.08401148315,67.458
Belarus2002,8961.64111959338,67.612
Belarus2003,9660.19368845286,67.809
Belarus2004,10839.9562728165,68.044
Belarus2005,11940.1865961058,68.327
Belarus2006,13214.87158024,68.678
Belarus2007,14417.3535308989,69.107
Belarus2008,15942.8976797373,69.616
Belarus2009,16010.439955622,70.189
Belarus2010,17288.4043493433,70.806
Belarus2011,18251.7809447653,71.443
Belarus2012,18576.7286760826,72.07
Belarus2013,18760.16352402,72.659
Belarus2014,19066.8868190919,73.192
Belarus2015,18307.5196678406,73.652
Belarus2016,17822.6065945418,74.031
Belarus2017,18280.1989190642,74.34
Belarus2018,18885.2354999668,74.59
Belarus2019,19283.1171477055,74.791
Belgium1990,35506.2392661362,75.862
Belgium1991,36022.9870333569,76.085
Belgium1992,36426.2880979906,76.299
Belgium1993,35935.2618401675,76.507
Belgium1994,36980.7331576015,76.709
Belgium1995,37783.418562422,76.907
Belgium1996,38207.9791308757,77.101
Belgium1997,39561.6072371458,77.292
Belgium1998,40251.6898056164,77.481
Belgium1999,41582.292537444,77.672
Belgium2000,43023.30716339,77.867
Belgium2001,43347.0501969365,78.071
Belgium2002,43889.7485927091,78.285
Belgium2003,44160.0566799357,78.509
Belgium2004,45539.5854609401,78.74
Belgium2005,46341.2896407062,78.975
Belgium2006,47211.6639573888,79.211
Belgium2007,48589.4600517703,79.441
Belgium2008,48422.5782305146,79.662
Belgium2009,47063.8790649801,79.873
Belgium2010,47971.6303134944,80.072
Belgium2011,48153.9390923805,80.261
Belgium2012,48209.991519122,80.444
Belgium2013,48203.6526833001,80.622
Belgium2014,48747.6770466387,80.797
Belgium2015,49455.4413365318,80.969
Belgium2016,49828.9629137518,81.139
Belgium2017,50442.2705419623,81.305
Belgium2018,51110.9584679336,81.468
Belgium2019,51742.7263830791,81.628
Belize1990,4854.98936338819,71.242
Belize1991,5310.15119163882,70.996
Belize1992,5852.84546198373,70.662
Belize1993,6116.26002780321,70.268
Belize1994,6002.80986195586,69.845
Belize1995,5887.27953790811,69.439
Belize1996,5784.21826657588,69.1
Belize1997,5775.30362249421,68.858
Belize1998,5765.64783209208,68.734
Belize1999,6042.66761428571,68.734
Belize2000,6599.3393519209,68.847
Belize2001,6698.17747351246,69.04
Belize2002,6819.48232025267,69.272
Belize2003,7261.13776382502,69.511
Belize2004,7413.90025955941,69.749
Belize2005,7363.87063594467,69.998
Belize2006,7519.43495574939,70.286
Belize2007,7363.42384655311,70.636
Belize2008,7426.89145077263,71.059
Belize2009,7257.75547237396,71.541
Belize2010,7294.68414297853,72.057
Belize2011,7259.85188640883,72.57
Belize2012,7264.46477960469,73.044
Belize2013,7194.9179052957,73.452
Belize2014,7323.14470076649,73.782
Belize2015,7358.58229184617,74.034
Belize2016,7207.00518379997,74.219
Belize2017,7193.63430990343,74.365
Belize2018,7261.87028738671,74.496
Belize2019,7251.9213512161,74.623
Benin1990,2175.20857627578,53.812
Benin1991,2191.8406066437,54.366
Benin1992,2179.50722950521,54.776
Benin1993,2227.35320010502,55.042
Benin1994,2195.82205208296,55.174
Benin1995,2253.11952564857,55.203
Benin1996,2277.76181597777,55.17
Benin1997,2336.5458721514,55.133
Benin1998,2358.28012691892,55.139
Benin1999,2411.99156352498,55.218
Benin2000,2478.21823775079,55.391
Benin2001,2532.63405180985,55.668
Benin2002,2570.78730365107,56.025
Benin2003,2579.69780730152,56.436
Benin2004,2614.21245549017,56.887
Benin2005,2581.64225152969,57.355
Benin2006,2606.8174487853,57.817
Benin2007,2685.13026141894,58.255
Benin2008,2738.19438467667,58.654
Benin2009,2724.08476657468,59.009
Benin2010,2704.7054840378,59.318
Benin2011,2707.86970043194,59.59
Benin2012,2759.84825577488,59.842
Benin2013,2876.90390883027,60.092
Benin2014,2975.85478222107,60.345
Benin2015,2945.97022066349,60.608
Benin2016,2961.4404159762,60.885
Benin2017,3044.51715620319,61.174
Benin2018,3160.7806702321,61.47
Benin2019,3287.30953781986,61.771
Bermuda1990,65961.4062778196,75.075
Bermuda1991,63958.8962542416,75.304
Bermuda1992,64385.4074102651,75.578
Bermuda1993,65967.8500138776,75.897
Bermuda1994,65904.7204209603,76.254
Bermuda1995,68313.3818545185,76.637
Bermuda1996,69643.4075205287,77.028
Bermuda1997,72403.8804374561,77.411
Bermuda1998,74677.0924239116,77.773
Bermuda1999,76772.3238467835,78.108
Bermuda2000,83181.5263421175,78.416
Bermuda2001,88231.783860841,78.705
Bermuda2002,86364.153739107,78.988
Bermuda2003,88727.3112693061,79.273
Bermuda2004,90195.8115646944,79.56
Bermuda2005,91114.0769901835,79.847
Bermuda2006,95615.3606970562,80.128
Bermuda2007,98257.9926982026,80.396
Bermuda2008,95855.800692618,80.645
Bermuda2009,89961.9827443671,80.875
Bermuda2010,88399.9159492493,81.087
Bermuda2011,85829.3782604391,81.284
Bermuda2012,80982.367755316,81.471
Bermuda2013,80503.6502910788,81.652
Bermuda2014,77361.1048812589,81.828
Bermuda2015,77842.7539032209,81.999
Bermuda2016,78149.352535184,82.163
